评审时间,评审人,学生,专业基础知识,逻辑思维能力,科研潜力,沟通与表达能力,综合素质,总分
2025-11-22 12:29:11,李老师,张三,3.5,6,4.5,5.5,5.5,25
2025-11-22 12:29:19,李老师,李四,3.5,4,6,5,4,22.5
2025-11-22 12:29:25,李老师,王五,5,4,7,5.5,6,27.5
2025-11-22 12:29:30,李老师,赵六,5,4,7,5,6.5,27.5
2025-11-22 12:29:44,王老师,张三,5,5,5,5,5,25
2025-11-22 12:29:50,王老师,李四,7,6.5,5.5,5.5,6.5,31
2025-11-22 12:29:57,王老师,王五,4.5,6.5,5.5,5,6,27.5
2025-11-22 12:30:01,王老师,赵六,5,6.5,5.5,5,6,28
2025-11-22 12:36:27,张老师,张三,6,3.5,5.5,4.5,6.5,26
2025-11-22 12:36:39,张老师,李四,4.5,5.5,4,6.5,5.5,26
2025-11-22 12:36:48,张老师,王五,6.5,5.5,6,5.5,6,29.5
2025-11-22 12:36:55,张老师,赵六,4.5,6.5,5.5,5,6,27.5
2025-11-22 12:37:23,周老师,张三,5.5,4.5,6,4.5,6.5,27
2025-11-22 12:37:30,周老师,李四,5,5,6,4.5,6.5,27
2025-11-22 12:37:37,周老师,王五,5,5,6,6.5,5.5,28
2025-11-22 12:37:40,周老师,赵六,6,4.5,6,6.5,5.5,28.5
2025-11-22 12:37:57,徐老师,张三,6,5.5,6.5,4.5,6,28.5
2025-11-22 12:38:00,徐老师,李四,6,5.5,5.5,4.5,6,27.5
2025-11-22 12:38:04,徐老师,王五,6,5.5,5.5,6.5,6,29.5
2025-11-22 12:38:07,徐老师,赵六,6,5.5,5.5,6.5,5,28.5
2025-11-22 12:38:23,宋老师,张三,5,5,5,5,5,25
2025-11-22 12:38:29,宋老师,李四,5,4.5,6.5,5,5,26
2025-11-22 12:38:33,宋老师,王五,6,4,6.5,5,6,27.5
2025-11-22 12:38:38,宋老师,赵六,6,5.5,6.5,5,6,29
2025-11-22 12:38:57,薛老师,张三,5.5,6.5,5,5,5,27
2025-11-22 12:39:00,薛老师,李四,5.5,6.5,5,4.5,5,26.5
2025-11-22 12:39:03,薛老师,王五,5.5,6.5,5.5,4.5,5,27
2025-11-22 12:39:09,薛老师,赵六,5.5,6.5,5.5,5,6.5,29
